longitude,latitude,code_postal,province,erreurs
,,"","46","Latitude manquante; Longitude manquante"
-0.0,-42.985601,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","35","Latitude manquante; Longitude hors Canada"
-0.0,47.072676,"","24","Longitude hors Canada"
92.846086,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
-97.129195,,"","46","Latitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
-0.0,42.966817,"","35","Longitude hors Canada"
,,"","48","Latitude manquante; Longitude manquante"
,53.420037,"","48","Longitude manquante"
-0.0,0.0,"","12","Latitude hors Canada; Longitude hors Canada"
,51.022874,"","48","Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,-46.810289,"","24","Latitude hors Canada; Longitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
79.419594,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
,42.934469,"","35","Longitude manquante"
67.00641,-45.906411,"","13","Latitude hors Canada; Longitude hors Canada"
,-46.046409,"","13","Latitude hors Canada; Longitude manquante"
-73.465364,0.0,"","24","Latitude hors Canada"
,44.210769,"","35","Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
78.68931,-43.917821,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,-44.679771,"","12","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","24","Latitude manquante; Longitude hors Canada"
,46.137661,"","12","Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,49.887642,"","46","Longitude manquante"
-73.757068,0.0,"","24","Latitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,43.730467,"","35","Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
79.427008,,"","35","Latitude manquante; Longitude hors Canada"
,48.475279,"","59","Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
-0.0,46.089311,"","24","Longitude hors Canada"
,49.177261,"","59","Longitude manquante"
97.086303,-49.963245,"","46","Latitude hors Canada; Longitude hors Canada"
,51.03741,"","48","Longitude manquante"
,-49.083122,"","24","Latitude hors Canada; Longitude manquante"
-0.0,53.60572,"","48","Longitude hors Canada"
-73.647336,0.0,"","24","Latitude hors Canada"
-0.0,,"","24","Latitude manquante; Longitude hors Canada"
-64.217112,-45.833679,"","12","Latitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,43.655276,"","35","Longitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
,45.03402,"","35","Longitude manquante"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
113.470251,-53.603109,"","48","Latitude hors Canada; Longitude hors Canada"
123.186223,-49.228212,"","59","Latitude hors Canada; Longitude hors Canada"
-0.0,43.944372,"","35","Longitude hors Canada"
,43.124476,"","35","Longitude manquante"
97.106088,0.0,"","46","Latitude hors Canada; Longitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
-113.481923,0.0,"","48","Latitude hors Canada"
,45.628281,"","13","Longitude manquante"
-0.0,43.353973,"","35","Longitude hors Canada"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
,51.043501,"","48","Longitude manquante"
72.546704,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-52.750037,-47.533347,"","10","Latitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
79.394514,-43.752815,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,50.019293,"","24","Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
-124.003067,-49.212547,"","59","Latitude hors Canada"
-0.0,-43.954797,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","24","Latitude manquante; Longitude hors Canada"
-0.0,-43.330024,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,45.696382,"","24","Longitude hors Canada"
-73.618019,0.0,"","24","Latitude hors Canada"
-0.0,-45.766051,"","24","Latitude hors Canada; Longitude hors Canada"
-122.906512,0.0,"","59","Latitude hors Canada"
,45.8359,"","12","Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
123.077892,49.086356,"","59","Longitude hors Canada"
,45.364868,"","12","Longitude manquante"
,43.879269,"","35","Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
,,"","12","Latitude manquante; Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
-0.0,-45.400325,"","35","Latitude hors Canada; Longitude hors Canada"
71.987433,-45.382995,"","24","Latitude hors Canada; Longitude hors Canada"
-67.681549,0.0,"","13","Latitude hors Canada"
,,"","46","Latitude manquante; Longitude manquante"
,44.055906,"","35","Longitude manquante"
78.862475,43.855097,"","35","Longitude hors Canada"
-0.0,,"","24","Latitude manquante; Longitude hors Canada"
75.6373,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
68.305693,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
99.947515,49.849024,"","46","Longitude hors Canada"
66.109278,-43.990943,"","12","Latitude hors Canada; Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
-73.873294,,"","24","Latitude manquante"
,-43.0254,"","35","Latitude hors Canada; Longitude manquante"
-81.239608,-42.976916,"","35","Latitude hors Canada"
,42.032509,"","35","Longitude manquante"
,46.802449,"","24","Longitude manquante"
-0.0,-53.453127,"","48","Latitude hors Canada; Longitude hors Canada"
,44.229629,"","35","Longitude manquante"
-72.460714,0.0,"","24","Latitude hors Canada"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
-81.261416,,"","35","Latitude manquante"
-81.166859,0.0,"","35","Latitude hors Canada"
-106.581299,,"","47","Latitude manquante"
-0.0,42.039804,"","35","Longitude hors Canada"
,56.241995,"","59","Longitude manquante"
-0.0,-53.588128,"","48","Latitude hors Canada; Longitude hors Canada"
-105.5481,0.0,"","47","Latitude hors Canada"
-0.0,49.843552,"","46","Longitude hors Canada"
-0.0,49.086645,"","59","Longitude hors Canada"
,-45.590664,"","24","Latitude hors Canada; Longitude manquante"
-114.015855,-50.965733,"","48","Latitude hors Canada"
,53.465265,"","48","Longitude manquante"
111.907241,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","35","Latitude manquante; Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,45.761958,"","24","Longitude manquante"
,45.059814,"","35","Longitude manquante"
,42.791945,"","35","Longitude manquante"
-79.817378,-43.361878,"","35","Latitude hors Canada"
-67.776448,-46.685211,"","13","Latitude hors Canada"
-110.686115,,"","48","Latitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
-52.713662,-47.562631,"","10","Latitude hors Canada"
-73.486748,,"","24","Latitude manquante"
64.487768,,"","12","Latitude manquante; Longitude hors Canada"
79.463189,-46.322971,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","13","Latitude manquante; Longitude manquante"
73.77932,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
71.163022,,"","24","Latitude manquante; Longitude hors Canada"
-124.517991,0.0,"","59","Latitude hors Canada"
-71.303712,0.0,"","24","Latitude hors Canada"
-63.57895,0.0,"","12","Latitude hors Canada"
-0.0,,"","35","Latitude manquante; Longitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
,48.491106,"","35","Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
123.400727,-48.437203,"","59","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","59","Latitude manquante; Longitude hors Canada"
-123.35844,0.0,"","59","Latitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
-0.0,-45.341047,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
-0.0,46.108572,"","13","Longitude hors Canada"
67.075625,0.0,"","13","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","13","Latitude manquante; Longitude hors Canada"
,0.0,"","24","Latitude hors Canada; Longitude manquante"
-65.796647,-45.521352,"","13","Latitude hors Canada"
-71.51896,-46.880969,"","24","Latitude hors Canada"
-0.0,46.142584,"","12","Longitude hors Canada"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-0.0,48.460186,"","59","Longitude hors Canada"
,0.0,"","48","Latitude hors Canada; Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
-113.495399,,"","48","Latitude manquante"
122.635785,49.22966,"","59","Longitude hors Canada"
113.597476,53.431952,"","48","Longitude hors Canada"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-0.0,-43.903278,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,45.797317,"","13","Longitude hors Canada"
,,"","48","Latitude manquante; Longitude manquante"
-122.663777,-49.113181,"","59","Latitude hors Canada"
-111.235073,-49.684067,"","48","Latitude hors Canada"
-0.0,-45.847918,"","24","Latitude hors Canada; Longitude hors Canada"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
,0.0,"","48","Latitude hors Canada; Longitude manquante"
,45.636431,"","13","Longitude manquante"
-123.364481,,"","59","Latitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
,45.697275,"","12","Longitude manquante"
101.873364,54.764583,"","46","Longitude hors Canada"
-113.919773,,"","48","Latitude manquante"
-97.163932,-49.802254,"","46","Latitude hors Canada"
-82.853096,,"","35","Latitude manquante"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
-125.230592,,"","59","Latitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
67.074042,45.114712,"","13","Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,,"","47","Latitude manquante; Longitude manquante"
67.103044,45.693896,"","13","Longitude hors Canada"
114.113549,50.939719,"","48","Longitude hors Canada"
-123.35474,,"","59","Latitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
-79.596277,,"","35","Latitude manquante"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-113.468451,,"","48","Latitude manquante"
,43.745814,"","35","Longitude manquante"
-79.450331,-43.770813,"","35","Latitude hors Canada"
,,"","48","Latitude manquante; Longitude manquante"
-59.947,,"","12","Latitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
-0.0,,"","35","Latitude manquante; Longitude hors Canada"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
,49.191339,"","59","Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
-0.0,45.451469,"","24","Longitude hors Canada"
-122.980221,0.0,"","59","Latitude hors Canada"
-106.675963,,"","47","Latitude manquante"
113.969045,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
115.569642,-51.173982,"","48","Latitude hors Canada; Longitude hors Canada"
80.327893,42.843938,"","35","Longitude hors Canada"
,-52.133126,"","47","Latitude hors Canada; Longitude manquante"
-0.0,-46.824175,"","24","Latitude hors Canada; Longitude hors Canada"
-73.319483,,"","24","Latitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
75.805791,-45.435252,"","24","Latitude hors Canada; Longitude hors Canada"
,48.478193,"","35","Longitude manquante"
,49.88832,"","46","Longitude manquante"
,-52.103154,"","47","Latitude hors Canada; Longitude manquante"
-0.0,49.718489,"","48","Longitude hors Canada"
-0.0,,"","13","Latitude manquante; Longitude hors Canada"
-71.633582,0.0,"","24","Latitude hors Canada"
-111.902944,,"","48","Latitude manquante"
-114.115064,0.0,"","48","Latitude hors Canada"
,43.895278,"","35","Longitude manquante"
-79.599668,-43.632382,"","35","Latitude hors Canada"
-79.251274,0.0,"","35","Latitude hors Canada"
,47.607686,"","10","Longitude manquante"
123.155205,0.0,"","59","Latitude hors Canada; Longitude hors Canada"
79.84183,-43.257917,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,-44.209723,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","48","Latitude manquante; Longitude manquante"
-0.0,-45.480438,"","24","Latitude hors Canada; Longitude hors Canada"
,42.927122,"","35","Longitude manquante"
82.383964,,"","35","Latitude manquante; Longitude hors Canada"
-0.0,-45.408448,"","13","Latitude hors Canada; Longitude hors Canada"
,,"","48","Latitude manquante; Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,0.0,"","24","Latitude hors Canada; Longitude manquante"
,-43.683914,"","35","Latitude hors Canada; Longitude manquante"
-0.0,43.680794,"","35","Longitude hors Canada"
-71.62195,,"","24","Latitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
64.82127,-47.803058,"","13","Latitude hors Canada; Longitude hors Canada"
-73.509971,,"","24","Latitude manquante"
,45.501942,"","24","Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
122.669277,-49.097837,"","59","Latitude hors Canada; Longitude hors Canada"
,50.698965,"","59","Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
-0.0,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
,43.898833,"","35","Longitude manquante"
,49.939031,"","46","Longitude manquante"
-0.0,,"","48","Latitude manquante; Longitude hors Canada"
-0.0,-49.250304,"","59","Latitude hors Canada; Longitude hors Canada"
,-45.570743,"","24","Latitude hors Canada; Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
,46.826166,"","24","Longitude manquante"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
73.502944,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
,0.0,"","59","Latitude hors Canada; Longitude manquante"
,,"","13","Latitude manquante; Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
,51.018649,"","48","Longitude manquante"
,-46.494353,"","35","Latitude hors Canada; Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
-72.727513,0.0,"","24","Latitude hors Canada"
-0.0,,"","59","Latitude manquante; Longitude hors Canada"
,0.0,"","24","Latitude hors Canada; Longitude manquante"
-0.0,,"","24","Latitude manquante; Longitude hors Canada"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","59","Latitude manquante; Longitude manquante"
-76.255357,-44.918481,"","35","Latitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
114.09826,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
-66.619682,,"","13","Latitude manquante"
-122.818083,-49.025281,"","59","Latitude hors Canada"
-125.241697,,"","59","Latitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
-79.438177,0.0,"","35","Latitude hors Canada"
-114.207938,,"","48","Latitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
97.211464,,"","46","Latitude manquante; Longitude hors Canada"
-122.659772,,"","59","Latitude manquante"
,50.967829,"","48","Longitude manquante"
-0.0,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
-63.579609,,"","12","Latitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-0.0,,"","48","Latitude manquante; Longitude hors Canada"
,,"","59","Latitude manquante; Longitude manquante"
66.773012,,"","13","Latitude manquante; Longitude hors Canada"
73.717998,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-73.051604,,"","24","Latitude manquante"
,45.735341,"","13","Longitude manquante"
-106.658103,0.0,"","47","Latitude hors Canada"
-0.0,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
-0.0,43.633345,"","35","Longitude hors Canada"
,49.857376,"","46","Longitude manquante"
-0.0,,"","35","Latitude manquante; Longitude hors Canada"
-0.0,-49.167409,"","59","Latitude hors Canada; Longitude hors Canada"
-64.704499,-46.089703,"","13","Latitude hors Canada"
,,"","47","Latitude manquante; Longitude manquante"
,42.980035,"","35","Longitude manquante"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
79.421185,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","59","Latitude manquante; Longitude manquante"
-122.353672,0.0,"","59","Latitude hors Canada"
,-53.571174,"","48","Latitude hors Canada; Longitude manquante"
-113.945808,,"","48","Latitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
,43.21486,"","35","Longitude manquante"
120.339117,,"","59","Latitude manquante; Longitude hors Canada"
-71.223407,,"","24","Latitude manquante"
-0.0,0.0,"","47","Latitude hors Canada; Longitude hors Canada"
-0.0,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
-94.484141,,"","35","Latitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
-113.456237,-53.451473,"","48","Latitude hors Canada"
-0.0,,"","35","Latitude manquante; Longitude hors Canada"
73.572425,-45.563912,"","24","Latitude hors Canada; Longitude hors Canada"
,49.318494,"","59","Longitude manquante"
-0.0,,"","47","Latitude manquante; Longitude hors Canada"
-123.670291,,"","59","Latitude manquante"
-113.559478,,"","48","Latitude manquante"
79.616501,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
72.968604,,"","24","Latitude manquante; Longitude hors Canada"
,45.861957,"","24","Longitude manquante"
-0.0,-45.581414,"","24","Latitude hors Canada; Longitude hors Canada"
,0.0,"","13","Latitude hors Canada; Longitude manquante"
-123.094378,,"","59","Latitude manquante"
111.379919,56.730597,"","48","Longitude hors Canada"
-0.0,0.0,"","47","Latitude hors Canada; Longitude hors Canada"
82.598756,42.055351,"","35","Longitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
,49.255295,"","59","Longitude manquante"
-75.675577,0.0,"","35","Latitude hors Canada"
79.424875,43.69964,"","35","Longitude hors Canada"
-73.59053,,"","24","Latitude manquante"
79.007434,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,-45.54643,"","24","Latitude hors Canada; Longitude hors Canada"
74.011629,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
73.731114,45.597084,"","24","Longitude hors Canada"
-0.0,-45.275744,"","13","Latitude hors Canada; Longitude hors Canada"
-0.0,-46.61381,"","35","Latitude hors Canada; Longitude hors Canada"
,53.360593,"","48","Longitude manquante"
73.68577,-45.56128,"","24","Latitude hors Canada; Longitude hors Canada"
,-43.725425,"","35","Latitude hors Canada; Longitude manquante"
-113.63958,,"","48","Latitude manquante"
64.760271,0.0,"","13","Latitude hors Canada; Longitude hors Canada"
73.582662,45.587582,"","24","Longitude hors Canada"
,45.454095,"","35","Longitude manquante"
,,"","60","Latitude manquante; Longitude manquante"
,46.893274,"","24","Longitude manquante"
-0.0,0.0,"","46","Latitude hors Canada; Longitude hors Canada"
,-47.021021,"","24","Latitude hors Canada; Longitude manquante"
,0.0,"","24","Latitude hors Canada; Longitude manquante"
,46.267479,"","11","Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
-0.0,,"","59","Latitude manquante; Longitude hors Canada"
-80.432615,,"","35","Latitude manquante"
-52.807892,0.0,"","10","Latitude hors Canada"
72.600011,-46.332615,"","24","Latitude hors Canada; Longitude hors Canada"
,49.980055,"","46","Longitude manquante"
,,"","46","Latitude manquante; Longitude manquante"
,50.39542,"","47","Longitude manquante"
-80.564277,-43.582019,"","35","Latitude hors Canada"
-114.005799,,"","48","Latitude manquante"
,45.480869,"","35","Longitude manquante"
,48.419979,"","24","Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
-0.0,-43.59263,"","35","Latitude hors Canada; Longitude hors Canada"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
-75.614256,,"","35","Latitude manquante"
,,"","13","Latitude manquante; Longitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
73.61555,45.589074,"","24","Longitude hors Canada"
-0.0,-49.950827,"","46","Latitude hors Canada; Longitude hors Canada"
64.777532,46.09044,"","13","Longitude hors Canada"
,,"","47","Latitude manquante; Longitude manquante"
60.226816,0.0,"","12","Latitude hors Canada; Longitude hors Canada"
-97.19719,-49.880509,"","46","Latitude hors Canada"
-0.0,,"","47","Latitude manquante; Longitude hors Canada"
-119.579213,,"","59","Latitude manquante"
,,"","12","Latitude manquante; Longitude manquante"
112.619977,49.730779,"","48","Longitude hors Canada"
,49.114604,"","59","Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
-0.0,0.0,"","48","Latitude hors Canada; Longitude hors Canada"
-0.0,46.578038,"","24","Longitude hors Canada"
-58.590184,,"","10","Latitude manquante"
80.318721,43.351704,"","35","Longitude hors Canada"
-73.516472,,"","24","Latitude manquante"
,49.910561,"","59","Longitude manquante"
-122.799799,-49.15788,"","59","Latitude hors Canada"
-0.0,46.321226,"","35","Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
-71.26757,,"","24","Latitude manquante"
,-46.514647,"","35","Latitude hors Canada; Longitude manquante"
-0.0,-51.048264,"","48","Latitude hors Canada; Longitude hors Canada"
124.801283,0.0,"","59","Latitude hors Canada; Longitude hors Canada"
,-50.039459,"","48","Latitude hors Canada; Longitude manquante"
-0.0,0.0,"","59","Latitude hors Canada; Longitude hors Canada"
-73.877628,0.0,"","24","Latitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
,45.48039,"","35","Longitude manquante"
-0.0,51.055365,"","48","Longitude hors Canada"
-123.266898,,"","59","Latitude manquante"
79.532013,,"","35","Latitude manquante; Longitude hors Canada"
,48.883474,"","24","Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
,,"","59","Latitude manquante; Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
80.544727,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
,49.280231,"","59","Longitude manquante"
-0.0,-46.212656,"","24","Latitude hors Canada; Longitude hors Canada"
,47.563285,"","10","Longitude manquante"
-0.0,-48.095427,"","24","Latitude hors Canada; Longitude hors Canada"
-113.553057,0.0,"","48","Latitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
-114.058714,0.0,"","48","Latitude hors Canada"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
79.875627,43.753715,"","35","Longitude hors Canada"
-79.293353,-43.709185,"","35","Latitude hors Canada"
-73.861869,-45.556667,"","24","Latitude hors Canada"
-123.001064,,"","59","Latitude manquante"
-0.0,45.56901,"","24","Longitude hors Canada"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
73.927905,-45.666447,"","24","Latitude hors Canada; Longitude hors Canada"
,43.693087,"","35","Longitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
,43.658516,"","35","Longitude manquante"
73.958375,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
,46.121542,"","13","Longitude manquante"
-0.0,49.700127,"","48","Longitude hors Canada"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
114.081583,,"","48","Latitude manquante; Longitude hors Canada"
,43.483309,"","35","Longitude manquante"
,-44.28758,"","35","Latitude hors Canada; Longitude manquante"
-0.0,-43.00401,"","35","Latitude hors Canada; Longitude hors Canada"
,,"","13","Latitude manquante; Longitude manquante"
,,"","10","Latitude manquante; Longitude manquante"
-113.948075,0.0,"","48","Latitude hors Canada"
63.216707,45.371372,"","12","Longitude hors Canada"
73.587253,,"","24","Latitude manquante; Longitude hors Canada"
73.681495,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
-75.743788,0.0,"","24","Latitude hors Canada"
,44.141415,"","35","Longitude manquante"
,-49.904577,"","46","Latitude hors Canada; Longitude manquante"
,0.0,"","59","Latitude hors Canada; Longitude manquante"
-0.0,43.646716,"","35","Longitude hors Canada"
79.452752,43.693523,"","35","Longitude hors Canada"
-79.722092,0.0,"","35","Latitude hors Canada"
,,"","24","Latitude manquante; Longitude manquante"
97.144667,,"","46","Latitude manquante; Longitude hors Canada"
-52.906808,-47.512827,"","10","Latitude hors Canada"
-0.0,,"","12","Latitude manquante; Longitude hors Canada"
-0.0,-49.673527,"","59","Latitude hors Canada; Longitude hors Canada"
79.566546,-43.639665,"","35","Latitude hors Canada; Longitude hors Canada"
-0.0,53.640468,"","48","Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
,,"","24","Latitude manquante; Longitude manquante"
,,"","13","Latitude manquante; Longitude manquante"
,0.0,"","35","Latitude hors Canada; Longitude manquante"
-72.461098,0.0,"","24","Latitude hors Canada"
,-49.41734,"","35","Latitude hors Canada; Longitude manquante"
,,"","35","Latitude manquante; Longitude manquante"
,43.66376,"","35","Longitude manquante"
,46.999929,"","13","Longitude manquante"
80.252422,0.0,"","35","Latitude hors Canada; Longitude hors Canada"
-122.864219,,"","59","Latitude manquante"
,-53.198441,"","47","Latitude hors Canada; Longitude manquante"
,50.711734,"","59","Longitude manquante"
-0.0,0.0,"","24","Latitude hors Canada; Longitude hors Canada"
-103.162439,0.0,"","47","Latitude hors Canada"
-0.0,,"","46","Latitude manquante; Longitude hors Canada"
79.238451,,"","35","Latitude manquante; Longitude hors Canada"
63.142928,-46.23419,"","11","Latitude hors Canada; Longitude hors Canada"
,,"","35","Latitude manquante; Longitude manquante"
-79.697642,,"","35","Latitude manquante"
104.584315,,"","47","Latitude manquante; Longitude hors Canada"
-71.055863,-48.446268,"","24","Latitude hors Canada"
,43.750414,"","35","Longitude manquante"
-0.0,,"","24","Latitude manquante; Longitude hors Canada"
-73.424575,,"","24","Latitude manquante"
